Player,Pos,Age,Cap Hit,Cap Hit PctLeague Cap,Dead Cap,Cash Total,Free AgentYear,Column8,Team,Section,Year,Column7,Player  (533),Yrs,"Value $3,549,866,500",AAV,"Total GTD $1,990,081,400","GTD @ Sign $1,820,736,400",Potential Out,Player  (478),"Value $3,620,581,235","Total GTD $2,067,039,735","GTD @ Sign $1,934,589,735",YOE,Prev Team,Type,Market Value AAV,name_original,name_norm,player_id,position,sleeper_name
Kyler Murray,QB,27,"$49,118,177",19.23%,"($112,421,000)","$38,872,407",2029,,ARI,Active,2024,,,,,,,,,,,,,,,,,Kyler Murray,kyler murray,5849,QB,Kyler Murray
Budda Baker,S,28,"$22,086,250",8.65%,"($19,441,666)","$27,398,712",2028,,ARI,Active,2024,,,,,,,,,,,,,,,,,Budda Baker,budda baker,4081,DB,Budda Baker
Jalen Thompson,SS,26,"$12,467,750",4.88%,"($12,053,250)","$8,532,422",2026,,ARI,Active,2024,,,,,,,,,,,,,,,,,Jalen Thompson,jalen thompson,6711,DB,Jalen Thompson
Zaven Collins,DE,25,"$6,876,036",2.69%,"($13,271,036)","$8,657,673",2027,,ARI,Active,2024,,,,,,,,,,,,,,,,,Zaven Collins,zaven collins,7637,LB,Zaven Collins
Kyzir White,OLB,28,"$6,760,080",2.65%,"($6,760,080)","$5,663,517",2025,,ARI,Active,2024,,,,,,,,,,,,,,,,,Kyzir White,kyzir white,5348,LB,Kyzir White
Marvin Harrison Jr.,WR,22,"$6,431,771",2.52%,"($35,374,742)","$23,479,850",2029,,ARI,Active,2024,,,,,,,,,,,,,,,,,Marvin Harrison Jr.,marvin harrison,11628,WR,Marvin Harrison
Sean Bunting,CB,27,"$5,955,000",2.33%,"($14,245,000)","$10,082,366",2027,,ARI,Active,2024,,,,,,,,,,,,,,,,,Sean Bunting,sean bunting,6060,CB,Sean Murphy-Bunting
Hjalte Froholdt,C,28,"$4,133,413",1.62%,"($7,810,080)","$6,553,588",2027,,ARI,Active,2024,,,,,,,,,,,,,,,,,Hjalte Froholdt,hjalte froholdt,6084,G,Hjalte Froholdt
Mack Wilson,LB,26,"$3,401,667",1.33%,"($6,495,000)","$6,202,558",2027,,ARI,Active,2024,,,,,,,,,,,,,,,,,Mack Wilson,mack wilson,6131,LB,Mack Wilson
Zach Pascal,WR,30,"$2,670,000",1.05%,"($750,000)","$2,060,872",2025,,ARI,Active,2024,,,,,,,,,,,,,,,,,Zach Pascal,zach pascal,4319,WR,Zach Pascal
Kelvin Beachum,LT,35,"$2,557,500",1.00%,"($1,047,500)","$2,289,721",2025,,ARI,Active,2024,,,,,,,,,,,,,,,,,Kelvin Beachum,kelvin beachum,1088,OL,Kelvin Beachum
Darius Robinson,DE,23,"$2,525,399",0.99%,"($13,869,328)","$7,773,390",2029,,ARI,Active,2024,,,,,,,,,,,,,,,,,Darius Robinson,darius robinson,11658,DL,Darius Robinson
Evan Brown,G,28,"$2,345,080",0.92%,"($1,100,000)","$3,324,741",2025,,ARI,Active,2024,,,,,,,,,,,,,,,,,Evan Brown,evan brown,5610,C,Evan Brown
DeeJay Dallas,RB,26,"$2,083,333",0.82%,"($2,495,000)","$2,922,299",2027,,ARI,Active,2024,,,,,,,,,,,,,,,,,DeeJay Dallas,deejay dallas,6931,RB,DeeJay Dallas
Trey McBride,TE,25,"$1,728,170",0.68%,"($890,866)","$1,886,914",2026,,ARI,Active,2024,,,,,,,,,,,,,,,,,Trey McBride,trey mcbride,8130,TE,Trey McBride
Trystan Colon-Castillo,C,26,"$1,727,941",0.68%,"($450,000)","$2,001,821",2025,,ARI,Active,2024,,,,,,,,,,,,,,,,,Trystan Colon-Castillo,trystan colon-castillo,6930,C,Trystan Colon
Zay Jones,WR,29,"$1,703,373",0.67%,"($1,150,000)","$1,710,880",2025,,ARI,Active,2024,,,,,,,,,,,,,,,,,Zay Jones,zay jones,4080,WR,Zay Jones
Khyiris Tonga,DT,28,"$1,670,000",0.65%,"($400,000)","$1,812,883",2025,,ARI,Active,2024,,,,,,,,,,,,,,,,,Khyiris Tonga,khyiris tonga,7756,DT,Khyiris Tonga
Max Melton,CB,22,"$1,616,056",0.63%,"($6,931,266)","$4,495,857",2028,,ARI,Active,2024,,,,,,,,,,,,,,,,,Max Melton,max melton,11693,DB,Max Melton
Baron Browning,OLB,25,"$1,558,000",0.61%,-,"$1,635,506",2025,,ARI,Active,2024,,,,,,,,,,,,,,,,,Baron Browning,baron browning,7681,LB,Baron Browning
Garrett Williams,CB,23,"$1,280,666",0.50%,"($823,599)","$1,605,456",2027,,ARI,Active,2024,,,,,,,,,,,,,,,,,Garrett Williams,garrett williams,10932,DB,Garrett Williams
Michael Wilson,WR,24,"$1,213,514",0.48%,"($662,433)","$1,616,642",2027,,ARI,Active,2024,,,,,,,,,,,,,,,,,Michael Wilson,michael wilson,10232,WR,Michael Wilson
Aaron Brewer,LS,34,"$1,162,265",0.46%,"($83,750)","$1,492,653",2025,,ARI,Active,2024,,,,,,,,,,,,,,,,,Aaron Brewer,aaron brewer,1122,LS,Aaron Brewer
Greg Dortch,WR,26,"$1,125,000",0.44%,-,"$1,125,000",2025,,ARI,Active,2024,,,,,,,,,,,,,,,,,Greg Dortch,greg dortch,5970,WR,Greg Dortch
Victor Dimukeje,OLB,25,"$1,095,465",0.43%,"($40,465)","$1,370,057",2025,,ARI,Active,2024,,,,,,,,,,,,,,,,,Victor Dimukeje,victor dimukeje,7788,LB,Victor Dimukeje
Isaiah Adams,T,24,"$1,086,323",0.43%,"($1,165,292)","$2,343,060",2028,,ARI,Active,2024,,,,,,,,,,,,,,,,,Isaiah Adams,isaiah adams,11718,OL,Isaiah Adams
Roy Lopez,DT,27,"$1,055,000",0.41%,-,"$1,532,528",2025,,ARI,Active,2024,,,,,,,,,,,,,,,,,Roy Lopez,roy lopez,7799,DT,Roy Lopez
Tip Reiman,TE,23,"$1,052,711",0.41%,"($1,030,844)","$2,299,663",2028,,ARI,Active,2024,,,,,,,,,,,,,,,,,Tip Reiman,tip reiman,11716,TE,Tip Reiman
Krys Barnes,LB,26,"$1,052,500",0.41%,-,"$1,592,817",2025,,ARI,Active,2024,,,,,,,,,,,,,,,,,Krys Barnes,krys barnes,7268,LB,Krys Barnes
L.J. Collier,DE,29,"$1,028,462",0.40%,-,"$1,769,642",2025,,ARI,Active,2024,,,,,,,,,,,,,,,,,L.J. Collier,lj collier,5861,DE,L.J. Collier
Dadrion Taylor-Demerson,S,23,"$1,010,414",0.40%,"($846,844)","$2,061,941",2028,,ARI,Active,2024,,,,,,,,,,,,,,,,,Dadrion Taylor-Demerson,dadrion taylor-demerson,11744,DB,Dadrion Taylor-Demerson
Clayton Tune,QB,25,"$1,002,656",0.39%,"($262,968)","$940,863",2027,,ARI,Active,2024,,,,,,,,,,,,,,,,,Clayton Tune,clayton tune,10217,QB,Clayton Tune
Jon Gaines II,G,25,"$978,060",0.38%,"($549,180)","$857,206",2027,,ARI,Active,2024,,,,,,,,,,,,,,,,,Jon Gaines II,jon gaines,10946,OL,Jon Gaines
Kei'Trel Clark,CB,23,"$977,233",0.38%,"($156,459)","$1,101,744",2027,,ARI,Active,2024,,,,,,,,,,,,,,,,,Kei'Trel Clark,keitrel clark,11014,DB,Kei'Trel Clark
Owen Pappoe,ILB,24,"$976,244",0.38%,"($183,732)","$1,309,246",2027,,ARI,Active,2024,,,,,,,,,,,,,,,,,Owen Pappoe,owen pappoe,10969,LB,Owen Pappoe
Dante Stills,DT,25,"$957,153",0.37%,"($100,002)","$1,455,338",2027,,ARI,Active,2024,,,,,,,,,,,,,,,,,Dante Stills,dante stills,11015,DT,Dante Stills
