league_id,league_name,display_name,total_points
1117649535347683328,#78 30s THE NEBULA SFTEP+ $10,ethanoz24,2590
1117649535347683328,#78 30s THE NEBULA SFTEP+ $10,Kapetan,2515
1117649535347683328,#78 30s THE NEBULA SFTEP+ $10,StickyPicky,2509
1117649535347683328,#78 30s THE NEBULA SFTEP+ $10,DaBearsPL,2436
1117649535347683328,#78 30s THE NEBULA SFTEP+ $10,OrngCrush89,2371
1117649535347683328,#78 30s THE NEBULA SFTEP+ $10,Sirricky09,2362
1117649535347683328,#78 30s THE NEBULA SFTEP+ $10,NiceCanadian,2332
1117649535347683328,#78 30s THE NEBULA SFTEP+ $10,BradleyWasser,2312
1117649535347683328,#78 30s THE NEBULA SFTEP+ $10,SpiceOne,2258
1117649535347683328,#78 30s THE NEBULA SFTEP+ $10,WindowLicker5000,2183
1117649535347683328,#78 30s THE NEBULA SFTEP+ $10,TavrinCallas,2096
1117649535347683328,#78 30s THE NEBULA SFTEP+ $10,moon3,1977
1104461823471992832,$20SummerSuperFlexBestie,StickyPicky,2430
1104461823471992832,$20SummerSuperFlexBestie,dumais829,2371
1104461823471992832,$20SummerSuperFlexBestie,HerbsNHarbaugh,2197
1104461823471992832,$20SummerSuperFlexBestie,SirThomas75,2136
1104461823471992832,$20SummerSuperFlexBestie,Randalpynkfloyd,2131
1104461823471992832,$20SummerSuperFlexBestie,Therrell,2069
1104461823471992832,$20SummerSuperFlexBestie,Joe__Joe_,2031
1104461823471992832,$20SummerSuperFlexBestie,YourWorship,1989
1104461823471992832,$20SummerSuperFlexBestie,BayouDemons,1977
1104461823471992832,$20SummerSuperFlexBestie,jdubs35,1945
1104461823471992832,$20SummerSuperFlexBestie,Phintrest,1935
1104461823471992832,$20SummerSuperFlexBestie,RageOnSunday,1592
999392600970825728,The Reverse 46 (1 Hr Clock),KcChiefer08,1999
999392600970825728,The Reverse 46 (1 Hr Clock),Tebowjackson,1798
999392600970825728,The Reverse 46 (1 Hr Clock),simptropic,1789
999392600970825728,The Reverse 46 (1 Hr Clock),FloridaMan15,1737
999392600970825728,The Reverse 46 (1 Hr Clock),WorldWorb3,1721
999392600970825728,The Reverse 46 (1 Hr Clock),Cyguy22,1710
999392600970825728,The Reverse 46 (1 Hr Clock),crask,1705
999392600970825728,The Reverse 46 (1 Hr Clock),iampotato1,1624
999392600970825728,The Reverse 46 (1 Hr Clock),StickyPicky,1564
999392600970825728,The Reverse 46 (1 Hr Clock),jaredeuv,1545
999392600970825728,The Reverse 46 (1 Hr Clock),mayhem208,1536
999392600970825728,The Reverse 46 (1 Hr Clock),RanchoCucamonga,1478
999392600970825728,The Reverse 46 (1 Hr Clock),jhorton22,1473
999392600970825728,The Reverse 46 (1 Hr Clock),nicsulsky,1469
999392600970825728,The Reverse 46 (1 Hr Clock),brandofosho21,1443
999392600970825728,The Reverse 46 (1 Hr Clock),GreenBowlPackers4,1389
