Player,League ID,Pick
Josh Allen,1245938023556730880,1.1
Lamar Jackson,1245938023556730880,1.2
Ja'Marr Chase,1245938023556730880,1.3
Jayden Daniels,1245938023556730880,1.4
Justin Jefferson,1245938023556730880,1.5
Bijan Robinson,1245938023556730880,1.6
Joe Burrow,1245938023556730880,1.7
Saquon Barkley,1245938023556730880,1.8
Jalen Hurts,1245938023556730880,1.9
Jahmyr Gibbs,1245938023556730880,1.10
Ceedee Lamb,1245938023556730880,2.1
Puka Nacua,1245938023556730880,2.2
Amon St. Brown,1245938023556730880,2.3
Malik Nabers,1245938023556730880,2.4
Brian Thomas,1245938023556730880,2.5
Brock Bowers,1245938023556730880,2.6
Nico Collins,1245938023556730880,2.7
Ashton Jeanty,1245938023556730880,2.8
Derrick Henry,1245938023556730880,2.9
Christian McCaffery,1245938023556730880,2.10
Drake London,1245938023556730880,3.1
Ladd McConkey,1245938023556730880,3.2
Devon Achane,1245938023556730880,3.3
Trey McBride,1245938023556730880,3.4
Patrick Mahomes,1245938023556730880,3.5
Terry McLaurin ,1245938023556730880,3.6
AJ Brown,1245938023556730880,3.7
Garret Wilson,1245938023556730880,3.8
Jonathan Taylor,1245938023556730880,3.9
Baker Mayfield,1245938023556730880,3.10
Josh Jacobs,1245938023556730880,4.1
James Cook,1245938023556730880,4.2
Rashee Rice,1245938023556730880,4.3
Bucky Irving,1245938023556730880,4.4
Kyren Williams,1245938023556730880,4.5
Tyreek Hill,1245938023556730880,4.6
Tee Higgins,1245938023556730880,4.7
Bo Nix,1245938023556730880,4.8
Jaxon Smith-Njigba,1245938023556730880,4.9
Chase Brown,1245938023556730880,4.10
Mike Evans,1245938023556730880,5.1
Breece Hall,1245938023556730880,5.2
Marvin Harrison,1245938023556730880,5.3
Omarion Hampton ,1245938023556730880,5.4
Davante Adams,1245938023556730880,5.5
Justin Herbert,1245938023556730880,5.6
Alvin Kamara,1245938023556730880,5.7
Chubba Hubbard,1245938023556730880,5.8
George Kittle,1245938023556730880,5.9
Kyler Murray,1245938023556730880,5.10
DJ Moore,1245938023556730880,6.1
Drake Maye,1245938023556730880,6.2
Brock Purdy,1245938023556730880,6.3
Joe Mixon,1245938023556730880,6.4
DK Metcalf,1245938023556730880,6.5
Treveyon Henderson,1245938023556730880,6.6
Devonta Smith,1245938023556730880,6.7
Courtland Sutton,1245938023556730880,6.8
Tetairoa McMillan ,1245938023556730880,6.9
JJ McCarthy,1245938023556730880,6.10
Jordan Addison,1245938023556730880,7.1
Caleb Williams,1245938023556730880,7.2
Xavier Worthy,1245938023556730880,7.3
James Connor,1245938023556730880,7.4
Justin Fields,1245938023556730880,7.5
Sam LaPorta,1245938023556730880,7.6
Jared Goff,1245938023556730880,7.7
CJ Stroud,1245938023556730880,7.8
RJ Harvey ,1245938023556730880,7.9
Calvin Ridley,1245938023556730880,7.10
D'Andre Swift,1245938023556730880,8.1
Travis Hunter ,1245938023556730880,8.2
Kenneth Walker ,1245938023556730880,8.3
Jameson Williams,1245938023556730880,8.4
Quinshon Judkins ,1245938023556730880,8.5
Zay Flowers,1245938023556730880,8.6
Jaylen Waddle,1245938023556730880,8.7
TJ Hockenson,1245938023556730880,8.8
Rome Odunze,1245938023556730880,8.9
Michael Penix,1245938023556730880,8.10
Aaron Jones ,1245938023556730880,9.1
David Montgomery,1245938023556730880,9.2
Dak Prescott,1245938023556730880,9.3
Jordan Love,1245938023556730880,9.4
George Pickens,1245938023556730880,9.5
Kaleb Johnson,1245938023556730880,9.6
Chris Olave,1245938023556730880,9.7
Jerry Jeudy,1245938023556730880,9.8
Deebo Samuel ,1245938023556730880,9.9
Travis Kelce,1245938023556730880,9.10
Brian Robinson,1245938023556730880,10.1
Isiah Pacheco ,1245938023556730880,10.2
Jayden Reed,1245938023556730880,10.3
Tony Pollard,1245938023556730880,10.4
Trevor Lawrence,1245938023556730880,10.5
Tua Tagovailoa,1245938023556730880,10.6
Chris Godwin,1245938023556730880,10.7
Mathew Stafford,1245938023556730880,10.8
Tyrone Tracy,1245938023556730880,10.9
Jaylen Warren ,1245938023556730880,10.10
Khalil Shakir,1245938023556730880,11.1
Evan Engram,1245938023556730880,11.2
Travis Etienne,1245938023556730880,11.3
Cam Skattebo,1245938023556730880,11.4
Tyler Warren ,1245938023556730880,11.5
Tre Harris,1245938023556730880,11.6
Jakobi Meyers,1245938023556730880,11.7
Cameron Ward,1245938023556730880,11.8
Javonte Williams,1245938023556730880,11.9
Jauan Jennings,1245938023556730880,11.10
Cooper Kupp,1245938023556730880,12.1
Stefon Diggs,1245938023556730880,12.2
Najee Harris,1245938023556730880,12.3
Bryce Young,1245938023556730880,12.4
Mark Andrews,1245938023556730880,12.5
Jordan Mason,1245938023556730880,12.6
Ricky Pearsall,1245938023556730880,12.7
JK Dobbins,1245938023556730880,12.8
Geno Smith,1245938023556730880,12.9
Jonnu Smith ,1245938023556730880,12.10
Colston Loveland,1245938023556730880,13.1
Matthew Golden,1245938023556730880,13.2
Emeka Egbuka ,1245938023556730880,13.3
Sam Darnold,1245938023556730880,13.4
Zach Charbonnet,1245938023556730880,13.5
Darnell Mooney,1245938023556730880,13.6
David Njoku ,1245938023556730880,13.7
Dalton Kincaid,1245938023556730880,13.8
Brandon Aiyuk,1245938023556730880,13.9
Tucker Kraft,1245938023556730880,13.10
Aaron Rodgers ,1245938023556730880,14.1
Jerome Ford,1245938023556730880,14.2
Kyle Pitts,1245938023556730880,14.3
Rashid Shaheed,1245938023556730880,14.4
Anthony Richardson,1245938023556730880,14.5
Josh Downs,1245938023556730880,14.6
Jayden Higgins,1245938023556730880,14.7
Jake Ferguson,1245938023556730880,14.8
Rhamondre Stevenson,1245938023556730880,14.9
Jaydon Blue,1245938023556730880,14.10
Keon Coleman,1245938023556730880,15.1
Dallas Goedert,1245938023556730880,15.2
Josh Allen,1240082455893901312,1.1
Jayden Daniels,1240082455893901312,1.2
Lamar Jackson,1240082455893901312,1.3
Joe Burrow,1240082455893901312,1.4
Bijan Robinson,1240082455893901312,1.5
Ja'Marr Chase,1240082455893901312,1.6
Justin Jefferson,1240082455893901312,1.7
Malik Nabers,1240082455893901312,1.8
Jahmyr Gibbs,1240082455893901312,1.9
Ceedee Lamb,1240082455893901312,1.10
Amon St. Brown,1240082455893901312,2.1
Saquon Barkley,1240082455893901312,2.2
Puka Nacua,1240082455893901312,2.3
Jalen Hurts,1240082455893901312,2.4
Ashton Jeanty,1240082455893901312,2.5
Bucky Irving,1240082455893901312,2.6
Derrick Henry,1240082455893901312,2.7
Brian Thomas,1240082455893901312,2.8
Brock Bowers,1240082455893901312,2.9
Nico Collins,1240082455893901312,2.10
Drake London,1240082455893901312,3.1
Christian McCaffery,1240082455893901312,3.2
